"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
82,1,550,1.8000000000000003,100,2.2090909090909094,25.48236284571956,63.7059071142989,48.460271171641345,"False",0.5258402858593926,-22.977908325921785,15.245635942657557
82,2,500,1.5000000000000002,100,1.840909090909091,25.376845362058436,63.44211340514609,46.42130306633663,"False",0.5466637876535825,-21.04445770427819,17.02081033880946
83,1,650,0.6,160,1.1781818181818182,25.773358570840607,64.43339642710151,42.48079628964832,"True",0.6067061077459378,-16.70743771880771,21.952600137453196
83,2,750,0.8,160,1.5709090909090908,25.754288380607715,64.38572095151929,44.85757748039067,"True",0.574134624007864,-19.103289099782952,19.528143471128622
84,1,1000,1.4000000000000001,160,2.7490909090909095,25.957882761344155,64.89470690336039,51.27372964220305,"False",0.5062608657978023,-25.315846880858896,13.620977261157336
84,2,600,1.2000000000000002,120,1.7672727272727276,25.900134341065424,64.75033585266357,46.000709010476044,"False",0.5630377204657219,-20.10057466941062,18.749626842187524
85,1,600,2.,100,2.4545454545454546,26.372391301742308,65.93097825435576,49.763635552123546,"False",0.5299530673179871,-23.391244250381238,16.16734270223222
85,2,300,0.5,100,0.6136363636363636,26.372391301742308,65.93097825435576,39.02323458100961,"True",0.6758125405262088,-12.650843279267303,26.907743673346154
86,1,450,0.4,140,0.6872727272727273,26.699536554525423,66.74884138631356,39.44780874996945,"True",0.6768319306087214,-12.748272195444024,27.30103263634411
86,2,400,1.7000000000000002,80,1.669090909090909,26.651018366961754,66.62754591740439,45.433072300428584,"True",0.5865995191945307,-18.78205393346683,21.194473616975806
87,1,600,0.7000000000000001,140,1.2027272727272729,26.9106033691248,67.276508422812,42.63246537297406,"True",0.6312232504898533,-15.72186200384926,24.64404304983794
87,2,850,1.4000000000000001,140,2.4054545454545457,26.957282681517068,67.39320670379267,49.50635097692085,"False",0.544521705792539,-22.54906829540378,17.886855726871822
88,1,500,1.3000000000000003,100,1.5954545454545457,27.25910462995297,68.14776157488242,45.00218696510556,"True",0.605728442733006,-17.74308233515259,23.145574609776865
88,2,1000,1.9000000000000001,140,3.264545454545454,27.2235278784904,68.05881969622601,53.789832935527414,"False",0.5061091732915506,-26.566305057037013,14.268986760698596
89,1,800,0.8,160,1.5709090909090908,27.471240939314896,68.67810234828724,44.85757748039067,"True",0.6124102656083883,-17.38633654107577,23.820524867896573
89,2,450,0.6,120,0.8836363636363636,27.471240939314903,68.67810234828725,40.64599169343247,"True",0.6758659290813582,-13.174750754117568,28.032110654854783
90,1,550,1.5000000000000002,100,1.840909090909091,27.91452989826428,69.7863247456607,46.42130306633663,"True",0.6013301664189408,-18.506773168072346,23.36502167932408
90,2,350,1.2000000000000002,80,1.1781818181818182,27.755924614751414,69.38981153687854,42.48079628964832,"True",0.6533758083417792,-14.724871674896903,26.909015247230222
91,1,800,1.8000000000000003,120,2.650909090909091,28.196494846731596,70.49123711682898,50.77660055534698,"False",0.5553048951356473,-22.580105708615385,19.714636561482003
91,2,750,1.6,120,2.3563636363636364,28.037717875990488,70.09429468997622,49.247398022386534,"False",0.5693238425154016,-21.209680146396046,20.84689666758969
92,1,850,2.,120,2.9454545454545453,28.421390207453,71.0534755186325,52.25024628859281,"False",0.5439474878352473,-23.82885608113981,18.803229230039683
92,2,450,1.9000000000000001,80,1.8654545454545453,28.36050705192577,70.90126762981443,46.560530978087975,"True",0.6091104731016194,-18.200023926162206,24.340736651726452
